comment
"Where would you put Hukportie that went to the Knicks. He’s been much better than expected. Once he figures out how to stop fouling so much he can be a defensive beast. 
Zach eddy has the same foul trouble issues as well though."
"Umm…yes, I’m a Wolves homer, but I can honestly say that Rob Dillingham is a breath of fresh air and I wouldn’t re-pick anyone else in this draft. He’s quick and flashy, exciting to watch. He’s still too skinny and his defense needs work, but this guy has the potential to be a star in this league. One thing is for sure: Dilly is NO bust. Coach Finch just needs to play Dilly more, and that’s on Finch—not on Dillingham. 

If Dilly were in a faster, run ‘n’ gun offense of, say, Don Nelson’s, Rob would be a 20-22 ppg / 7-8 asst guy every night. When Mike Conley finally retires at the end of the season, you’ll see a big change in how the Wolves operate as Dilly will get all those minutes…and he’ll bloom right before our eyes. It’s coming. Don’t miss it!

Also, Terrence Shannon Jr. is a stud, and he’s gonna be a 20 ppg / 7-8 rebounds per game guy, too. If you add him to this re-draft list, he’d be in the top 10, too…likely top 7. Again, it’s Coach Finch holding him back. Get the man more playing time, and we’ll see…just like we saw the other night as the Wolves came back from 25 down to beat the Thunder in OT. That wasn’t a fluke, folks. TJ is relentless on offense. He doesn’t stop.

The sky is the limit for these two young guys on the Wolves. Add in 2nd year man Jaylen Clark’s defense and the Ant Man…woah."
liked and subbed cuz of the magic shirt
tiktok dancer outplaying pandemic p bruh
devious work with the highlight package to shoe in your narrative
Dalton Knect should've been 1 or 2
I don't get some of these. How is it a regrade is Reed Sheppard is evaluated on what you think will happen and not on him being terrible for 5 months now.
Where is Bronny James 😂😂😂
aging like milk on a radiator.
"Bronny should have been a top 10 pick..He is destroying the g league, and he is about to be the face of the NBA."
Your estimation of Ron Holland is dead wrong. He is one of the very few defensive difference makers of this draft class. He´d certainly go top 10 in a Re-draft.
What’s the draft potential of fletcher loyer
Wow Kel’el Ware won rookie of the month and shot up the Rookie Of The Year race as soon as Spo gave him minutes. You did him dirty here.
Your Ron Holland take will age like milk.
Why the thumbnail guy in the Grizzlies jersey look like Sneako lmao
Good list but no Jaylen Wells who’s actually played better than Edey for the Grizzlies makes it lose so much credibility.
That bad grading on Kel’el Ware isn’t aging well lol
"Downvoting this nonsense. Overrated the fuck outta Knecht. 
Didnt do a full first rounder either..."
This aged terribly in just two months with Ware being the most impressive rookie with the highest upside.
Honestly what a forgettable year
Brook Lopez is a 3 pt sharp shooter
No yves missi equals no ball knowledge
Wells & Collier are easy top 10 picks if redrafted.  Collier's ceiling may be #1 just like it was going into USC
worst draft ever hands down
C for Sarr and B for Sheppard is hilarious
I was glad my spirit took castle it number four. And I wanted them to take Edie at number eight. But they traded it away for a 2031 first round pick. Which made no sense cause we need all the help we can get right now. Whenever the Spurs take Wemby out. Stats show that the team just fall apart.  Edi would’ve helped out the spurs tremendously. And since Wemby can move like a guard. He can play power forward sometimes when EDi is in the game at the same time he is.
You put Sarr too low in my opinion
This guy def doesn’t watch the wizards ☠️
how can you give alex sarr a C when everything you said about Risacher goes for him too??
Clingan is off to a good start. Bigs take time to develop and he is young. He will be a defensive force.
"as a pistons fan, i would definitely say you’re underrating holland. i’d agree he hasn’t been a top 5 caliber pick, but his defense is some of the best i’ve seen among most perimeter defenders this season, and ive watched 30+ games this season. he sometimes will guard the pg full court for a whole quarter or two in the 2nd/3rd, something i haven’t seen many players be able to do. also is insanely valuable as a cutter and hustle guy, just gets every loose ball and runs the floor too fast for anyone to catch. his shooting needs work but he’s been progressing"
"Kelel ware C 😂  rookie of the month , bad re draft"
"Reed Sheppard is in bust territory. He's literally been the worst player on the Rockets this season, and one of the worst rookies in general."
"To not have Jaylen Wells in the top 10 redraft made this whole video ridiculous 
Best Shooter 
2nd Best Defender
Starting for a top 5 team"
